"","nama","harga","seller","terjual","tanggal_ambil_data"
"1","Bertolli Extra Virgin Olive Oil / Minyak Zaitun Murni 500 ML BEST SELL","Rp85.000","Food Republic","Terjual 1.779 Produk",2020-09-04
"2","Original Extra Virgin Olive Oil (EVOO) Casa Di Olivia Zaitun For Kids","Rp60.000","Yubyre","Terjual 1.624 Produk",2020-09-04
"3","EVOO Baby Olive Oil Casa Di Oliva Olivia For Kids Bayi Minyak Zaitun","Rp58.000","Papamama Babyshop","Terjual 2.161 Produk",2020-09-04
"4","Casa di Oliva - Extra Virgin Olive Oil for Kids (EVOO) 250ml","Rp59.000","Chubby Baby Shop","Terjual 1.696 Produk",2020-09-04
"5","BEST PRICE CASA DI OLIVA EXTRA VIRGIN OLIVE OIL FOR KIDS","Rp59.900","Whiz World","Terjual 3.115 Produk",2020-09-04
"6","Minyak Zaitun BORGES Extra Virgin Olive Oil 500 ml - BORGES 500ml","Rp83.500","Lapak Barokah","Terjual 1.337 Produk",2020-09-04
"7","Bertolli Extra Light dan Classico Olive Oil 1000ml - Classico","Rp155.000","ceva","Terjual 1.149 Produk",2020-09-04
"8","Minyak Zaitun Olive Oil 500ml Asli Tanpa Campuran","Rp59.000","herbalasli","Terjual 2.375 Produk",2020-09-04
"9","Minyak Zaitun Extra Virgin Olive Oil Bertolli 1 LTR","Rp163.000","Food Republic","Terjual 1.282 Produk",2020-09-04
"10","Borges Extra Virgin Olive Oil Minyak Zaitun 500 ml","Rp98.000","HouseHerbal","Terjual 777 Produk",2020-09-04
"11","casa di oliva evoo minyak zaitun olive oil for kids","Rp59.800","BABYKU WHOLESALER","Terjual 1.321 Produk",2020-09-04
"12","Minyak Zaitun Extra Virgin Olive Oil Al Ghuroba 1 Liter / 1000 mL","Rp120.000","Alif Herbal","Terjual 1.175 Produk",2020-09-04
"13","Olive Oil 1lt","Rp90.000","Java Soap","Terjual 1.565 Produk",2020-09-04
"14","EVOO BABY OLIVE OIL CASA DI OLIVA OLIVIA FOR BABY AND KIDS","Rp54.000","Illya Baby Store","Terjual 1.246 Produk",2020-09-04
"15","Bertolli Extra Virgin Olive Oil / Minyak Zaitun 500 ML BEST SELLER!","Rp87.125","SS Suppliers F&B Jakarta","Terjual 784 Produk",2020-09-04
"16","Bertolli Extra Virgin Olive Oil / Minyak Zaitun Murni 250 ML BEST SELL","Rp45.000","Food Republic","Terjual 891 Produk",2020-09-04
"17","Minyak Zaitun Leriche / Le riche / Lerichi Olive oil 300 ml Original","Rp29.400","Al - Mubarok Store","Terjual 1.586 Produk",2020-09-04
"18","BERTOLLI Extra Virgin Olive Oil Minyak Zaitun 500 ml","Rp82.600","BAYININJA","Terjual 1.259 Produk",2020-09-04
"19","Casa Di Oliva EXTRA VIRGIN OLIVE OIL FOR KIDS 250ml","Rp58.000","Baby Wise","Terjual 1.208 Produk",2020-09-04
"20","BERTOLLI EXTRA VIRGIN OLIVE OIL (250ML)","Rp47.000","BestCMart","Terjual 686 Produk",2020-09-04
"21","BERTOLLI EXTRA VIRGIN OLIVE OIL 500ML","Rp80.000","MOMOGO ID","Terjual 832 Produk",2020-09-04
"22","Minyak Zaitun BORGES Extra Virgin Olive Oil 250 ml - BORGES 250ml","Rp48.500","Lapak Barokah","Terjual 891 Produk",2020-09-04
"23","BORGES Extra Virgin Olive Oil [500 mL]","Rp105.500","FingerLand","Terjual 555 Produk",2020-09-04
"24","Minyak Zaitun Extra Virgin Olive Oil Bertolli 1 LTR Best Seller !","Rp159.900","SS Suppliers F&B Jakarta","Terjual 564 Produk",2020-09-04
"25","Casa di Oliva For Kids / EVOO Minyak Zaitun Organik Organic Olive Oil","Rp62.000","toku pedia","Terjual 633 Produk",2020-09-04
"26","Bertolli Extra Virgin Olive Oil 1000ml","Rp160.000","ceva","Terjual 446 Produk",2020-09-04
"27","POMACE OLIVE OIL / MINYAK ZAITUN 1 ltr","Rp70.000","HEANSA KIMIA","Terjual 932 Produk",2020-09-04
"28","Filippo Berio Extra Virgin Olive Oil EVOO Minyak Zaitun untuk MPASI","Rp53.000","Whiz World","Terjual 403 Produk",2020-09-04
"29","Borges Sybaris Premium Extra Virgin Olive Oil 500ml","Rp147.000","Kebun Kita","Terjual 328 Produk",2020-09-04
"30","Borges Extra Light Olive Oil Minyak Zaitun 500 ml","Rp89.000","HouseHerbal","Terjual 300 Produk",2020-09-04
"31","Bertolli Extra Virgin Olive Oil 250ml","Rp48.000","W-jaya Store","Terjual 503 Produk",2020-09-04
"32","Bertolli Extra Virgin Olive Oil 500ml","Rp87.500","ceva","Terjual 372 Produk",2020-09-04
"33","Casa Di Oliva Olive Oil, Extra Virgin Olive Oil 250ml","Rp72.000","Nourish Indonesia","Terjual 446 Produk",2020-09-04
"34","Minyak Zaitun BORGES Extra Virgin Olive Oil 500 ml","Rp80.000","Amanah Herbal Surabaya","Terjual 391 Produk",2020-09-04
"35","Minyak Zaitun BORGES Extra Virgin Olive Oil 125 ml - BORGES 125ml","Rp26.500","Lapak Barokah","Terjual 806 Produk",2020-09-04
"36","BERTOLLI Extra Virgin Olive Oil Minyak Zaitun 250 ml","Rp44.800","BAYININJA","Terjual 574 Produk",2020-09-04
"37","OLIVE OIL BERTOLLI EXTRA LIGHT 3 Liter","Rp397.000","Warung Mas Budi","Terjual 495 Produk",2020-09-04
"38","Bertolli Extra Virgin Olive Oil / Minyak Zaitun 250 ML Best Seller!","Rp49.200","SS Suppliers F&B Jakarta","Terjual 387 Produk",2020-09-04
"39","Olive Oil Pomace 500 ml","Rp45.000","Syah-House","Terjual 752 Produk",2020-09-04
"40","Minyak Zaitun Borges Extra Virgin Olive Oil 500 ml - TANPA BUBBLE","Rp76.999","Mulia Shop","Terjual 345 Produk",2020-09-04
"41","BERTOLLI EXTRA LIGHT OLIVE OIL (500ML)","Rp84.000","BestCMart","Terjual 360 Produk",2020-09-04
"42","NIGELLA OLIVE OIL ATH THIBBUN NABAWI","Rp120.000","DUNIAKITA","Terjual 320 Produk",2020-09-04
"43","Minyak Zaitun ZAIT MUBAROK 60 ml | Minyak Zaitun Olive Oil","Rp12.750","AFF GALLERY","Terjual 1.312 Produk",2020-09-04
"44","BERTOLLI EXTRA LIGHT OLIVE OIL (2 L)","Rp290.000","BestCMart","Terjual 353 Produk",2020-09-04
"45","BORGES [500 ml] Extra Light Olive Oil","Rp95.000","greenara.id","Terjual 256 Produk",2020-09-04
"46","EVOO Baby Olive Oil Casa Di Oliva Olivia For Kids Bayi Minyak Zaitun","Rp60.000","instore9088","Terjual 335 Produk",2020-09-04
"47","BERTOLLI EXTRA LIGHT OLIVE OIL 3 L","Rp408.000","BestCMart","Terjual 346 Produk",2020-09-04
"48","BORGES [250 mL] Extra Virgin Olive Oil Minyak Zaitun","Rp53.000","greenara.id","Terjual 326 Produk",2020-09-04
"49","Bertolli Extra Virgin Olive Oil 250ml - Minyak Zaitun","Rp47.900","TheOnlineGrocer","Terjual 246 Produk",2020-09-04
"50","BERTOLLI EXTRA VIRGIN OLIVE OIL (2 L)","Rp294.000","BestCMart","Terjual 409 Produk",2020-09-04
"51","BERTOLLI Extra Light Olive Oil Minyak Zaitun 500 ml","Rp83.200","BAYININJA","Terjual 365 Produk",2020-09-04
"52","Minyak Zaitun RS extra virgin olive oil 1liter","Rp160.000","ASBA7 TOKO","Terjual 184 Produk",2020-09-04
"53","Minyak Zaitun Extra Virgin Olive Oil Bertolli 1 LTR","Rp163.000","foodsupply.co","Terjual 245 Produk",2020-09-04
"54","Borges Extra Virgin Olive Oil - 500 ml","Rp108.000","Genki Plant","Terjual 228 Produk",2020-09-04
"55","Minyak Zaitun Le Riche 300ml - Leriche 300ml - Olive Oil","Rp35.000","Lapak Barokah","Terjual 598 Produk",2020-09-04
"56","Bertolli Extra Virgin Olive Oil 250ml","Rp50.000","ceva","Terjual 242 Produk",2020-09-04
"57","Minyak Zaitun Asli - Murni - Extra Virgin Olive Oil 500ml al-Amir Afra","Rp110.000","Febryan Paudi","Terjual 287 Produk",2020-09-04
"58","Minyak Zaitun RS extra virgin olive oil 1liter","Rp133.000","Distributor Herbal Jkt","Terjual 413 Produk",2020-09-04
"59","BERTOLLI EXTRA LIGHT OLIVE OIL 1L","Rp153.000","MOMOGO ID","Terjual 395 Produk",2020-09-04
"60","Minyak Zaitun Le Riche Olive Oil LeRiche 300ml","Rp28.980","Dehace Jakarta","Terjual 737 Produk",2020-09-04
"61","BERTOLLI EXTRA VIRGIN OLIVE OIL (500ML)","Rp87.000","BestCMart","Terjual 264 Produk",2020-09-04
"62","BERTOLLI EXTRA LIGHT OLIVE OIL 500ML","Rp80.000","MOMOGO ID","Terjual 388 Produk",2020-09-04
"63","COSTA DORO TRUFFLE EXTRA VIRGIN OLIVE OIL 250 ML","Rp87.000","Premium Food Importer","Terjual 917 Produk",2020-09-04
"64","ZAITUNA OLIVE OIL EXTRA VIRGIN / MINYAK ZAITUN EXTRA VIRGIN 60 ml","Rp12.000","Hassyifa collection","Terjual 1.480 Produk",2020-09-04
"65","Bertolli Extra Light Olive Oil 1 LTR Minyak Goreng Sehat Best Seller","Rp160.000","Food Republic","Terjual 326 Produk",2020-09-04
"66","Minyak ZAITUN EXTRA VIRGIN OLIVE Oil Curah 1 liter 1000 ml BORGES","Rp104.999","TokoSurabaya","Terjual 324 Produk",2020-09-04
"67","Minyak Zaitun Syekh Ali Jaber Extra Virgin Olive Oil Asli!!!","Rp150.000","Agen Resmi Madu AZ-ZIKRA","Terjual 352 Produk",2020-09-04
"68","Pomace Olive Oil / Minyak Zaitun Pomace 5 LTR","Rp360.000","Food Republic","Terjual 469 Produk",2020-09-04
"69","Casa di Oliva - Olive Oil for Kids","Rp69.000","A to Z Family Store","Terjual 247 Produk",2020-09-04
"70","Borges Extra Virgin Olive Oil - 1 L","Rp208.000","Genki Plant","Terjual 122 Produk",2020-09-04
"71","BERTOLLI EXTRA VIRGIN OLIVE OIL (1 L)","Rp165.000","BestCMart","Terjual 141 Produk",2020-09-04
"72","Bertolli Extra Light Olive Oil 500 ML Minyak Goreng Sehat Best Seller","Rp83.000","Food Republic","Terjual 252 Produk",2020-09-04
"73","Minyak Zaitun Olive Oil Rumman 80 ml 80ml Mirip Le richie Bisa Diminum","Rp9.899","TokoSurabaya","Terjual 2.088 Produk",2020-09-04
"74","Minyak Zaitun BORGES Extra Virgin Olive Oil 500 ml","Rp93.500","Snack Made","Terjual 231 Produk",2020-09-04
"75","Minyak Zaitun / JADIED Zaitun Extra Virgin Olive Oil 60ml","Rp10.800","Al - Mubarok Store","Terjual 1.201 Produk",2020-09-04
"76","Bertolli Extra Light Olive Oil Spray 145ml","Rp60.000","W-jaya Store","Terjual 346 Produk",2020-09-04
"77","Minyak Zaitun Extra Virgin Olive Oil Borges 250 ml 250ml","Rp44.999","TokoSurabaya","Terjual 544 Produk",2020-09-04
